"district_id";"district_name";"province_id"
"ZW000A";"Harare District";"ZW00"
"ZW000B";"Chitungwiza Urban";"ZW00"
"ZW000C";"Chitungwiza Hospital";"ZW00"
"ZW000D";"Harare Central Hospital";"ZW00"
"ZW000E";"Parirenyatwa";"ZW00"
"ZW0101";"Buhera District";"ZW01"
"ZW0102";"Chimanimani District";"ZW01"
"ZW0103";"Chipinge District";"ZW01"
"ZW0104";"Makoni District";"ZW01"
"ZW0105";"Mutare District";"ZW01"
"ZW0106";"Mutasa District";"ZW01"
"ZW0107";"Nyanga District";"ZW01"
"ZW0201";"Bindura District";"ZW02"
"ZW0202";"Centenary District";"ZW02"
"ZW0203";"Guruve District";"ZW02"
"ZW0204";"Mazowe District";"ZW02"
"ZW0205";"Mbire District";"ZW02"
"ZW0206";"Mount Darwin District";"ZW02"
"ZW0207";"Rushinga District";"ZW02"
"ZW0208";"Shamva District";"ZW02"
"ZW0301";"Chikomba District";"ZW03"
"ZW0302";"Goromonzi District";"ZW03"
"ZW0303";"Uzumba Maramba Pfungwe District";"ZW03"
"ZW0304";"Hwedza District";"ZW03"
"ZW0305";"Marondera District";"ZW03"
"ZW0306";"Mudzi District";"ZW03"
"ZW0307";"Murewa District";"ZW03"
"ZW0308";"Mutoko District";"ZW03"
"ZW0309";"Seke District";"ZW03"
"ZW0401";"Chegutu District";"ZW04"
"ZW0402";"Hurungwe District";"ZW04"
"ZW0403";"Kariba District";"ZW04"
"ZW0404";"Makonde District";"ZW04"
"ZW0405";"Mhondoro District";"ZW04"
"ZW0406";"Sanyati District";"ZW04"
"ZW0407";"Zvimba District";"ZW04"
"ZW0501";"Binga District";"ZW05"
"ZW0502";"Bubi District";"ZW05"
"ZW0503";"Hwange District";"ZW05"
"ZW0504";"Lupane District";"ZW05"
"ZW0505";"Nkayi District";"ZW05"
"ZW0506";"Tsholotsho District";"ZW05"
"ZW0507";"Umguza District";"ZW05"
"ZW0601";"Beitbridge District";"ZW06"
"ZW0602";"Bulilima District";"ZW06"
"ZW0603";"Gwanda District";"ZW06"
"ZW0604";"Insiza District";"ZW06"
"ZW0605";"Mangwe District";"ZW06"
"ZW0606";"Matobo District";"ZW06"
"ZW0607";"Umzingwane District";"ZW06"
"ZW0701";"Chirumhanzu District";"ZW07"
"ZW0702";"Gokwe North District";"ZW07"
"ZW0703";"Gokwe South District";"ZW07"
"ZW0704";"Gweru District";"ZW07"
"ZW0705";"Kwekwe District";"ZW07"
"ZW0706";"Mberengwa District";"ZW07"
"ZW0707";"Shurugwi District";"ZW07"
"ZW0708";"Zvishavane District";"ZW07"
"ZW0801";"Bikita District";"ZW08"
"ZW0802";"Chiredzi District";"ZW08"
"ZW0803";"Chivi District";"ZW08"
"ZW0804";"Gutu District";"ZW08"
"ZW0805";"Masvingo District";"ZW08"
"ZW0806";"Mwenezi District";"ZW08"
"ZW0807";"Zaka District";"ZW08"
"ZW0901";"Emakhandeni District";"ZW09"
"ZW0902";"Nkulumane District";"ZW09"
"ZW0903";"Northern Suburbs District";"ZW09"
"ZW090A";"Bulawayo District";"ZW09"
