facility_id;district_id;facility_name;province_id;dhis_code;longitude;latitude
ZW000A01;ZW000A;Avondale Clinic;ZW00;LixFsP9YMT9;31.0291;-17.7883
ZW000A02;ZW000A;Arcadia Primary Care Clinic;ZW00;OBXlKhRkRIb;31.0546;-17.8468
ZW000A05;ZW000A;Belvedere FHS;ZW00;UiPBTlrwap5;31.0243;-17.82
ZW000A07;ZW000A;Borrowdale Primary Care Clinic;ZW00;WaYcDd2d9pk;0;0
ZW000A08;ZW000A;Braeside FHS;ZW00;t0hAcwHFHPq;31.0657;-17.8399
ZW000A09;ZW000A;Budiriro Polyclinic;ZW00;GdL5a5OSZ15;30.9354;-17.8912
ZW000A0C;ZW000A;Beatrice Road Infectious Diseases Hospital;ZW00;MjDD6XQksTN;31.0282;-17.8601
ZW000A0D;ZW000A;Wilkins Infectious Diseases Hospital;ZW00;;0;0
ZW000A0E;ZW000A;St Annes Hospital;ZW00;;0;0
ZW000A0F;ZW000A;Avenues Clinic;ZW00;;0;0
ZW000A0G;ZW000A;Mbuya Dorcas Hospital;ZW00;;0;0
ZW000A0H;ZW000A;West End  Hospital;ZW00;;0;0
ZW000A0J;ZW000A;Metropolitan ;ZW00;;0;0
ZW000A0K;ZW000A;Belvedere Matenity Hospital;ZW00;;0;0
ZW000A0L;ZW000A;Suburban Hospital;ZW00;;0;0
ZW000A0M;ZW000A;BS Leon Hospital;ZW00;;0;0
ZW000A0N;ZW000A;Rock Foundation ;ZW00;;0;0
ZW000A0P;ZW000A;Queen of Peace;ZW00;;0;0
ZW000A0Q;ZW000A;Arcadia Medical Centre;ZW00;;0;0
ZW000A0R;ZW000A;Glen Norah Medical Centre;ZW00;;0;0
ZW000A0S;ZW000A;Willowvale Medical Centre;ZW00;;0;0
ZW000A0T;ZW000A;Mabelreign Medical Centre;ZW00;;0;0
ZW000A0V;ZW000A;Baines Avenues Hosp;ZW00;;0;0
ZW000A10;ZW000A;Eastlea FHS;ZW00;ZRcIuk4ds0W;31.0861;-17.8256
ZW000A11;ZW000A;Glen Norah Satellite;ZW00;R9siosZGUNf;30.969;-17.9058
ZW000A13;ZW000A;Glen View Polyclinic;ZW00;mUxVNM06Sk3;30.9508;-17.908
ZW000A14;ZW000A;Glen View Satellite;ZW00;;0;0
ZW000A15;ZW000A;Greendale FHS;ZW00;FU8Z93y9IuS;31.1291;-17.8105
ZW000A17;ZW000A;Hatcliffe Polyclinic;ZW00;F4AJYW3LDd7;31.1075;-17.6974
ZW000A18;ZW000A;Highfield Polyclinic;ZW00;PLxOtSolhG5;30.9945;-17.8846
ZW000A19;ZW000A;Kambuzuma Polyclinic;ZW00;AYEjUHiuvp5;30.9683;-17.8581
ZW000A20;ZW000A;Kuwadzana Polyclinic;ZW00;mee4OawYuZj;30.9285;-17.8323
ZW000A21;ZW000A;Mabelreign Satellite;ZW00;KDRm4HCFdj9;30.9987;-17.7914
ZW000A23;ZW000A;Mabvuku Polyclinic;ZW00;kN7DcESNWZp;31.1971;-17.8357
ZW000A25;ZW000A;Matapi Clinic;ZW00;E7AXNPjenwo;31.0427;-17.8589
ZW000A26;ZW000A;Mbare Hostels Clinic;ZW00;s1BtvNQ1vRc;31.0393;-17.8666
ZW000A27;ZW000A;Mbare Polyclinic;ZW00;G6bGAnRpVN3;31.0355;-17.8597
ZW000A28;ZW000A;Mt Pleasant Primary Care Clinic;ZW00;EWMnY0PYBjL;31.0458;-17.7691
ZW000A29;ZW000A;Mufakose Polyclinic;ZW00;MNpfnKkWMnl;30.9297;-17.8669
ZW000A30;ZW000A;Parirenyatwa Primary Care Clinic;ZW00;hfkMdRTZsja;0;0
ZW000A32;ZW000A;Rugare Clinic;ZW00;;0;0
ZW000A33;ZW000A;Rujeko Polyclinic;ZW00;mOG4It93hxE;0;0
ZW000A34;ZW000A;Rutsanana PolyClinic;ZW00;GLqagpqiJ55;30.9861;-17.9065
ZW000A35;ZW000A;Southerton Primary Care Clinic;ZW00;fbumlk4A6cT;31.0089;-17.8663
ZW000A37;ZW000A;Sunningdale Satellite;ZW00;UQfTSqwDWuU;31.0543;-17.8684
ZW000A38;ZW000A;Tafara FHS;ZW00;UM3CeWRmpig;31.2135;-17.8316
ZW000A39;ZW000A;Warren Park Polyclinic;ZW00;RG4VU0RvA6Q;30.9782;-17.8338
ZW000A41;ZW000A;Waterfalls Primary Care Clinic;ZW00;mwJTr9zLk7k;31.0308;-17.8903
ZW000A42;ZW000A;Western Triangle Primary Care Clinic;ZW00;mSu42uQEjOs;30.9804;-17.8949
ZW000A43;ZW000A;KG Six;ZW00;;0;0
